Name,ParentName,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconExportName,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateTapExportName,StateTapMinMS,StateTapMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder,PuzzlePiece,PuzzlePieceCount,PuzzlePieceExportName,PuzzleBgExportName,ReputationUnlockLevel,StateTapWalkMinMS,StateTapWalkMaxMS,TapWalkSpeed,MaxDistanceFromHouseTapped,StateIdleHungryMinMS,StateIdleHungryMaxMS,SmallIconExportName,MapStatesExportName
String,String,int,int,int,String,String,String,int,int,int,int,String,String,int,int,String,int,int,String,String,String,int,int,int,int,int,int,int,String,int,int,String,int,int,String,String,String,String,String,String,String,String,String,int,boolean,int,String,int,String,String,int,int,int,int,int,int,int,String,String
Elephant1,,34,0,600,ElephantHouse,sc/animals03.sc,shop_icon_elephant01,150,25,10,25,elephant_idle01,elephant_hungry,4600,11300,elephant_walk_cleaning,16000,16000,elephant_run,elephant_walk,elephant_walk,3000,12000,800,8000,11,4,55,elephant_eating,16200,16200,elephant_sleeping2,2600,10400,TID_ELEPHANT1,TID_ELEPHANT1_DESCRIPTION,,ElephantTap,ElephantTap,Buy,,ElephantIdle,,8,FALSE,1500,Puzzle Piece 1,36,elephant01_image_,elephant01_image_bg,3,5000,10750,16,50,5600,11200,icon_elephant01,
,,,,,,,,,,,,elephant_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephant2,,34,0,600,ElephantHouse,sc/animals03.sc,shop_icon_elephant02,150,25,10,25,elephant2_idle01,elephant2_hungry,4600,11300,elephant2_mud_throwing,11600,12600,elephant2_run,elephant2_walk,elephant2_walk,3000,12000,800,8000,15,4,55,elephant2_eating,16200,16200,elephant2_sleeping,2600,10400,TID_ELEPHANT2,TID_ELEPHANT2_DESCRIPTION,,ElephantTap,ElephantTap,Buy,,ElephantIdle,,8,FALSE,1600,Puzzle Piece 1,36,elephant02_image_,elephant02_image_bg,3,5000,11000,16,50,5600,11200,icon_elephant02,elephant2_mapstates
,,,,,,,,,,,,elephant2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippo1,,34,0,600,HippoHouse,sc/animals04.sc,shop_icon_hippo01,150,25,10,25,hippo_idle01,hippo_hungry,6100,7300,hippo_special,22000,22000,hippo_run,hippo_walk,hippo_walk,4500,4500,1400,7000,6,4,25,hippo_eating,9000,9000,hippo_sleep,3300,3300,TID_HIPPO1,TID_HIPPO1_DESCRIPTION,,HippoTap,HippoTap,Buy,,HippoIdle,,8,FALSE,1700,Puzzle Piece 1,36,hippo01_image_,hippo01_image_bg,3,20000,20000,16,50,5600,11200,icon_hippo01,
